"Facility Name","name (OpenLMIS)","DHIS2_id","OpenLMIS Code","DHAMIS Facility ID"
"Mitole Village Clinic","Mitole Village Clinic","mpKCs1TAhut","Not existing",""
"Mitole Village Clinic (Chiradzulu)","Mitole Village Clinic (Chiradzulu)","L7otDejSOih","Not existing",""
"Mitondo Village Clinic","Mitondo Village Clinic","dXwG8kfrVPs","Not existing",""
"Mitundu Rural Hospital","Mitundu Rural/ Community Hospital","aVmCsQGN0r1","LL1530","147"
"Miyano Village Clinic","Miyano Village Clinic","ZMHO0VAU9TC","Not existing",""
"Miyombo Village Clinic","Miyombo Village Clinic","DF6TaDxFLEg","Not existing",""
"Mjatu Village Clinic","Mjatu Village Clinic","Fts5Qbpq93s","Not existing",""
"Mjini Dispensary","Mjini Health Centre","QRur3iZGQxE","DZ1745","1394"
"Mjojo Village Clinic","Mjojo Village Clinic","Xhot4Os0jP5","Not existing",""
"Mkakatavu Village Clinic","Mkakatavu Village Clinic","V50N3cuOLIV","Not existing",""
"Mkambiri Village Clinic","Mkambiri Village Clinic","YK1VhmVCKHq","Not existing",""
"Mkana Village Clinic","Mkana Village Clinic","bYaWmsNQCvK","Not existing",""
"Mkanda Health Centre","Mkanda Health Centre","FexDaTn0HFG","MC1611","148"
"Mkanda Village Clinic","Mkanda Village Clinic","eIyiPbF8bac","MC1611",""
"Mkanga Village Clinic","Mkanga Village Clinic","L9AewaGe9YP","Not existing",""
"Mkango Dispensary","Mkango Dispensary","je3gS5u3q51","Not existing",""
"Mkhota R Growth Health Centre","Mkhota Health Centre","F17kSj3t4iD","KU1010","1017"
"Mkhuzi Health Centre","Mkhuzi Health Centre","K4fSBUiEBEX","NS1207","149"
"Mkoma Health Centre","Mkoma Health Centre","y1zhkY1SAE9","MZS0541","1021"
"Nkomaula Health Centre","Mkomaula Health Centre","PY3CbMBy53P","MJ3224","1182"
"Mkulumba Village Clinic","Mkulumba Village Clinic","yZZcFewQ6IG","Not existing",""
"Nkumaniza Health Centre","Mkumaniza Health Centre","bwhjLosc8k8","CK3313","150"
"Mkumba Health Centre","Mkumba Health Centre","XQ14A9f2j8N","MH2519","1023"
"Mkundi Village Clinic","Mkundi Village Clinic","oXGfxjKplLk","Not existing",""
"Mkungwi Village Clinic","Mkungwi Village Clinic","qldAEiOMHZe","Not existing",""
"Mkwapatira Village Clinic","Mkwapatira Village Clinic","lv7qMxE69BB","Not existing",""
"Mkwasowanjovu Village Clinic","Mkwasowanjovu Village Clinic","p5LgwsDa85g","Not existing",""
"Mkwepere Health Centre","Mkwepere Health Centre","RQYBvIXGsDY","MHG2618","1015"
"Mkwinda Village Clinic","Mkwinda Village Clinic","pm0kXVrLBCt","Not existing",""
"Mlale Hospital","Mlale Hospital","vlaK6dtRhxj","LL1531","729"
"Mlambe Hospital","Mlambe Hospital","cmCppSqIlzN","BT2915","151"
"Mlanda Health Centre","Mlanda Health Centre","IvqvjIvVBaK","NU1819","516"
"Mlangali Dispensary","Mlangali Health Centre","a6eACcAs40A","DZ1720","1025"
"Mlangeni Health Centre","Mlangeni Health Centre","ONmU8CWhzv9","NU1820","1027"
"Mlangeni Police Health Centre","Mlangeni Police Health Centre","ObGhlP39lGg","NU1820",""
"Mlare Dispensary","Mlare Dispensary","o9B8rTitcGn","KA0218","390"
"Mlatha Village Clinic","Mlatha Village Clinic","SIboSRwBeap","Not existing",""
"Mlele Village Clinic","Mlele Village Clinic","dNNwpoeMtPT","Not existing",""
"Mlirasambo Village Clinic","Mlirasambo Village Clinic","HzOTgkWVHyH","Not existing",""
"Mlodza SDA Dispensary","Mlodza Health Centre","HYVLnrx75IO","LL4039","1395"
"Mlolera Womens Clinic ","Mlolera Womens Clinic","ElXrgGgPfvw","Not existing","804"
"Mlolo Dispensary","Mlolo Dispensary","SlyRIl4cwOF","Not existing",""
"Mlomba Health Centre","Mlomba Dispensary","OUiAuB0Uc7D","MHG2619","153"
"Mlonda Village Clinic","Mlonda Village Clinic","KBWBdGalIQF","Not existing",""
"Mlowe Health Centre","Mlowe Health Centre","GSQ5TnX3yuJ","RU0412","154"
"Mmotola Village Clinic","Mmotola Village Clinic","gR56betuqJL","Not existing",""
"Mmwenye Village Clinic","Mmwenye Village Clinic","bhueCq34T6C","Not existing",""
"Mndinda Health Centre","Mndinda Health Centre","uYi2L6Go4Qf","NS1213","880"
"Mnenso Village Clinic","Mnenso Village Clinic","sYJh1sTvInJ","Not existing",""
"Mnessa Village Clinic","Mnessa Village Clinic","bygXGRsbSMz","Not existing",""
"Mnyanja Health Centre","Mnyanja Health Centre","mwyB6seePPU","KU1064","1417"
"MOH MALAWI Govt","MOH MALAWI Govt","lZsCb6y0KDX","Not existing",""
"Mokowa Village Clinic","Mokowa Village Clinic","QKPdp8UUDaL","Not existing",""
"Mombwe Village Clinic","Mombwe Village Clinic","UXNifOPsd3w","Not existing",""
"Mongola Village Clinic","Mongola Village Clinic","zAo5PLlOFIC","Not existing",""
"Mongola Village Clinic (MJ)","Mongola Village Clinic (MJ)","eigDE8F81L9","Not existing",""
"Monkey-Bay Community Hospital","Monkeybay Rural/ Community Hospital","rJjuBGDDPrG","MH2520","493"
"Morgeni Village Clinic","Morgeni Village Clinic","QH2NG7JkZ0d","Not existing",""
"Moto Outreach Clinic","Moto Village Clinic","OFG9ZxRg2aS","Not existing",""
"Moyale Barracks Health Centre ","Moyale Barracks Health Centre","S9XMFfakFVw","MZN0585","553"
"Moyo Wanga Pvt clinic","Moyo Wanga Pvt clinic","LGJ7Iyq5M8U","Not existing","1348"
"Mpakaka Village Clinic","Mpakaka Village Clinic","IMhTI7RfDQA","Not existing",""
"Mpala Health Centre","Mpala Health Centre","w8qa58C9FGk","MJ3210","158"
"Mpalangwazi Village Clinic","Mpalangwazi Village Clinic","UgKJHXVcnx8","Not existing",""
"Mpamantha Health Centre","Mpamantha Health Centre","YEVlg1UBA5H","KK1107","343"
"Mpamba Health Centre","Mpamba Health Centre","cHhZC34cSCl","NB0603","159"
"Mpango Village Clinic","Mpango Village Clinic","vWQODDAyvhI","Not existing",""
"Mpasa Health Centre","Mpasa Health Centre","Kxv4oNJw7DU","PE3508","1028"
"Mpasuka Village Clinic","Mpasuka Village Clinic","RtBC9IOtS4A","Not existing",""
"Mpata Health Centre","Mpata Health Centre","n7QRqzjmhbr","KA0209","399"
"Mpata Village Clinic","Mpata Village Clinic","h5RWmcJjOYR","KA0209",""
"MPC Bwaila ART CLINIC","MPC Bwaila ART CLINIC Health Centre","zpInaIow7TF","LL0092",""
"Mpemba Health Centre","Mpemba Health Centre","d9yZ10QgeOl","BT2916","747"
"Mpepa / Chisinga Health Centre","Mpepa Health Centre","GJhhq8K1EBF","KU1065","1118"
"Mpezeni Village Clinic","Mpezeni Village Clinic","VuGb6bqbRcT","Not existing",""
"Mphathi Health Centre","Mphathi Health Centre","KCFtEvMrZ3Z","DZ1721","1030"
"Mphedza Village Clinic","Mphedza Village Clinic","WetNoRjbZPQ","Not existing",""
"Mphepozinai Dispensary","Mphepozinayi Health Centre","D2lOPiKippv","NU1822","1031"
"Mpherembe Health Centre","Mpherembe Health Centre","XazLGbIHFsc","MZN0526","544"
"Mpheta Village Clinic","Mpheta Village Clinic","qsrkFHuPdT5","Not existing",""
"Mphika Village Clinic","Mphika Village Clinic","FcV99v2vpIa","Not existing",""
"Mphinga Village Clinic","Mphinga Village Clinic","Bnc9Phkk4HP","Not existing",""
"Mphopha Health Centre","Mphompha Health Centre","hS2sYnTQbU3","RU0413","447"
"Mphunzi Health Centre","Mphunzi Health Centre","eXOvuYIG9YP","DZ1722","1035"
"Mphwanye Village Clinic","Mphwanye Village Clinic","XLjHk1iQiRF","Not existing",""
"Mpinganjira Village Cinic","Mpinganjira Village Cinic","L0Dm2oQwRll","Not existing",""
"Mpingo Health Centre","Mpingo Health Centre","WaVNBxhEraz","BT5074",""
"Mpira Village Clinic","Mpira Village Clinic","pWCg0gVyE5l","Not existing",""
"Mpira Village Clinic","Mpira Village Clinic","laoRrOSXSLZ","Not existing",""
"Mpiri Health Centre","Mpiri Health Centre","rl3pWoEjBn3","MHG2608","455"
"Mpita Village Clinic","Mpita Village Clinic","yJ8fJ1Nd0gV","Not existing",""
"Mpitirira Village Clinic","Mpitirira Village Clinic","lFPvmRMXnak","Not existing",""
"Mponda Village Clinic","Mponda Village Clinic","IypKIMBC4Vy","Not existing",""
"Mpondasi Health Centre","Mpondasi Health Centre","AUDheLXTT2U","MH2521","1036"
"Mponde Village Clinic","Mponde Village Clinic","O5FYCSODym2","Not existing",""
"Mponela Rural Hospital","Mponela Rural/ Community Hospital","ueVjB10KIyz","DA1313","161"
"Mposa Health Centre","Mposa Health Centre","tLsbScHkeRF","MHG2609","1005"
"Mpuchila Village Clinic","Mpuchila Village Clinic","cR6dWoO5mpS","Not existing",""
"Mpunga Village Clinic","Mpunga Village Clinic","pffMZEnDsVu","Not existing",""
"Msaka Village Clinic","Msaka Village Clinic","gWefI65TqN8","Not existing",""
"Msakambewa Health Centre","Msakambewa Health Centre","jgFPtgYE3C8","DA1314","162"
"Msangano Village Clinic","Msangano Village Clinic","O5bDyXEc48z","Not existing",""
"Mseche Clinic","Mseche Clinic","kEalcH7WPX0","Not existing",""
"Msenjere Health Centre","Msenjere Health Centre","dE9wie8cYJB","KK1117","1008"
"Msese Health Centre","Msese Health Centre","Um1JMpMYGpE","MZS0527","531"
"Msikinya Village Clinic","Msikinya Village Clinic","kwZKH7sGIjw","Not existing",""
"Msoma Village Clinic","Msoma Village Clinic","na0XF1tKh9A","Not existing",""
"Msomera Village Clinic","Msomera Village Clinic","U3qO3Y51hIP","Not existing",""
"Msomo Village Clinic","Msomo Village Clinic","FX50Kzb6WRX","Not existing",""
"Msumbe Health Centre","Msumbe Dispensary","hLuqNN1enth","CP0109",""
"Msusa Village Clinic","Msusa Village Clinic","YMXwLigzxl4","Not existing",""
"Mswelo Village Clinic","Mswelo Village Clinic","d0EnNLmFDz8","Not existing",""
"Msweru Village Clinic","Msweru Village Clinic","rOAxdTyPsHK","Not existing",""
"Mtaka Village Clinic","Mtaka Village Clinic","o37YeeLiHCe","Not existing",""
"Mtakataka Health Centre","Mtakataka Health Centre","wtmWonh9GZt","DZ1733","358"
"Mtakataka Police Health Centre","Mtakataka Police Health Centre","Fo4Nu1Khoqq","DZ1733","1397"
"Mtamila Village Clinic","Mtamila Village Clinic","spaVFX33X9l","Not existing",""
"Mtekera Village Clinic","Mtekera Village Clinic","YgeGHDjqvz8","Not existing",""
"Mtende Health Centre","Mtende Health Centre","o0hX9ak46oU","MZS0528","1014"
"Mtende Village Clinic","Mtende Village Clinic","sFw6BAQA5KM","MZS0528",""
"Mtendere Health Centre","Mtendere Hospital","r0KnLCBcTr3","DZ1723","1016"
"Mtendere Village Clinic","Mtendere Village Clinic","RGFutNUAfKw","DZ1723",""
"Mtendere Village Clinic","Mtendere Village Clinic","u5pqIEZqXRo","",""
"Mtengoumodzi Private Hospital","Mtengoumodzi Private Hospital","P4mpxuxgOZW","BT2965","789"
"","Mtengowanthenga Community Hospital","Mtengowanthenga Hospital","","471"
"Mtengowanthenga Dream Project ","Mtengowanthenga Dream Project","HkbvKBQFM6B","DA1335","816"
"Mtengowanthenga Hospital","Mtengowanthenga Hospital","s79dCXbcoCA","DA1315",""
"Mtenthera Health Centre","Mtenthera Health Centre","TIa8uoFjhcd","LL1532","1018"
"Mthibwilibwi Village Clinic","Mthibwilibwi Village Clinic","aV8EBOMOPpO","Not existing",""
"Mtimabii Health Centre","Mtimabi Health Centre","U0L0TzkTg4Y","MH2533","1019"
"Mtiya Village Clinic","Mtiya Village Clinic","UdTVG4Bz2cV","Not existing",""
"Mtombosola  Village Clinic","Mtombosola  Village Clinic","g2QX8Ax0XhR","Not existing",""
"Mtonda Health Centre","Mtonda Health Centre","PxcYX4fmgXB","NU1823","1022"
"Mtonda Village Clinic","Mtonda Village Clinic","UtJAMuFQ4bJ","NU1823",""
"Mtosa Health Centre","Mtosa Health Centre","tlqs0jOTw9o","KK1108","1024"
"Mtumbula Village Clinic","Mtumbula Village Clinic","pQKRSVIJb2q","Not existing",""
"Mtundula Village Clinic","Mtundula Village Clinic","HJkkftA7pgQ","Not existing",""
"Mtungwi Village Clinic","Mtungwi Village Clinic","KH8dB7pNLig","Not existing",""
"Mtunthama Health Centre","Mtunthama Health Centre","PbfmrMdVBs3","KU1011","164"
"Mtupa Village Clinic","Mtupa Village Clinic","MyzaPSmxMCp","Not existing",""
"Mtupa Village Clinic","Mtupa Village Clinic","sDMOJOuY4Ue","Not existing",""
"Mtwalo Health Centre","Mtwalo Health Centre","JeL4xvlOwsv","MZN0529","1190"
"Mua Health Centre","Mua Health Centre","CpJKFMjPNUc","DZ1735",""
"Mua Mission Hospital","Mua Hospital","niNbaFnNCgp","DZ1735","352"
"Muchembo Village Clinic","Muchembo Village Clinic","FGdyact0qte","Not existing",""
"Muhiyo Village Clinic","Muhiyo Village Clinic","HWxtneYfcnc","Not existing",""
"Muhowa Village Clinic","Muhowa Village Clinic","IOlZY57upTk","Not existing",""
"Mujenjere Village Clinic","Mujenjere Village Clinic","ng4BWdCST77","Not existing",""
"Mulanje-DHO","Mulanje DHO Pharmacy","rUBJcTYUnAE","MJ3211",""
"Mulanje District Hospital","Mulanje District Hospital","Nepy3vH3e6g","MJ3211","166"
"Mulanje Mission Hospital","Mulanje Mission Hospital","MKIDkeCfVCc","MJ3212","167"
"Mulembe Village Clinic","Mulembe Village Clinic","ncKg2M2bIHm","Not existing",""
"Mulera Village Clinic","Mulera Village Clinic","znoJ0MIjbEo","Not existing",""
"Muliba Village Clinic","Muliba Village Clinic","vjm3DKQxWo5","Not existing",""
"Mulibwanji Hospital","Mulibwanji Hospital","GjCDed8EK8B","MH2550","496"
"Mulima Village Clinic","Mulima Village Clinic","ogLFUTkNIpI","Not existing",""
"Muliya Village Clinic","Muliya Village Clinic","n1MVeTLUZun","Not existing",""
"Mulomba Health Centre","Mulomba Health Centre","ijqBzVGbncx","MJ3213","638"
"Mulongoti Village clinic","Mulongoti Village clinic","qCuNp43GTiq","Not existing",""
"Muloza Health Centre","Muloza Heath Centre Health Centre","P5U57FLrPxL","MJ3214","1032"
"Muluma Dispensary","Muluma Health Centre","jHjfJQsvt47","NU1856","1090"
"Mulungu Alinafe Health Centre","Mulungu Alinafe Clinic","YpOsxnyWD67","PE3516","1353"
"Mulyabweka Village Clinic","Mulyabweka Village Clinic","Xq1wXIGqxif","Not existing",""
"Mumbwe Medical Centre ","Mumbwe Medical Centre","atRsAeYj8bo","Not existing","808"
"Murewane Village Clinic","Murewane Village Clinic","NiEODgoC7il","Not existing",""
"Mussa Village Clinic","Mussa Village Clinic","pJCI5d8PSMg","Not existing",""
"Muyambutsa Village Clinic","Muyambutsa Village Clinic","WDxgQ5zkMf1","Not existing",""
"Muyaya Village Clinic","Muyaya Village Clinic","qPEB7J65BhW","Not existing",""
"Muyobe Village Clinic","Muyobe Village Clinic","PttY7gISAVG","Not existing",""
"Muzombwe Village Clinic","Muzombwe Village Clinic","WFVggxeZMnt","Not existing",""
"Mvera Mission Health Centre","Mvera Mission Hospital","QKnbzIuwFb6","DA1317","477"
"Mvera Support Battalion Health Centre","Mvera Support Battalion Health Centre","aockNsOfjIt","DA1316","1041"
"Mwachira Private Clinic","Mwachira Private Clinic","f2PAHAHGZS4","BT5023","1133"
"Mwahiwe Village Clinic","Mwahiwe Village Clinic","TxdhkB1ldQk","Not existing",""
"Mwaiwathu Private Hospital","Mwaiwathu Private Hospital","YGIGbwqnA9M","BT2967","784"
"Mwakalomba Village Clinic","Mwakalomba Village Clinic","tFknsTrhnZM","Not existing",""
"Mwala Village Clinic","Mwala Village Clinic","qvtfWTJCCCV","Not existing",""
"Mwalembe Village Clinic","Mwalembe Village Clinic","pYVuqAlnwkH","Not existing",""
"Mwambeta Village Clinic","Mwambeta Village Clinic","gtBBEcJ0nWE","Not existing",""
"Mwamutawali Village Clinic","Mwamutawali Village Clinic","yJLniBNrvoC","Not existing",""
"Mwananjobvu Village Clinic","Mwananjobvu Village Clinic","aDSJOvHr1pJ","Not existing",""
"Mwanbuli Village Clinic","Mwanbuli Village Clinic","WQTQb1FBK26","Not existing",""
"Mwandama Health Centre","Mwandama Health Centre","jyoWzEvm0XC","ZA2747","1260"
"Mwandenga Village Clinic","Mwandenga Village Clinic","IzB8NDt5VLS","Not existing",""
"Mwanga Health Centre","Mwanga Health Centre","Js5P9ZU5K6r","PE3509","1034"
"Mwangala Health Centre","Mwangala Health Centre","ZctUHvWm292","DA1318","1205"
"Mwangamila Village Clinic","Mwangamila Village Clinic","nGPT5TwDBAb","Not existing",""
"Mwangomba Village Clinic","Mwangomba Village Clinic","r1rE0Gt0tod","Not existing",""
"Mwansambo Health Centre","Mwansambo Health Centre","Rf1rrKDqc9l","KK1109","337"
"Mwanyesha-1 Village Clinic","Mwanyesha-1 Village Clinic","N1pwYzCXeEy","Not existing",""
"Mwanyesha-3 Village Clinic","Mwanyesha-3 Village Clinic","bC7h7p8jBn3","Not existing",""
"Mwanyongo Village Clinic","Mwanyongo Village Clinic","S2KFeXZ1kga","Not existing",""
"Mwanza Illovo Clinic","Mwanza ClinicArea 3","dviOrlXivOL","CK3362","1217"
"Mwanza-DHO","Mwanza DHO Pharmacy","VbGP71DRL3K","MN3801",""
"Mwanza District Hospital","Mwanza District Hospital","ojR8a0Xu9A3","MN3801","169"
"Mwatakata Village Clinic","Mwatakata Village Clinic","vko5xPu4UlG","Not existing",""
"Mwawa Village Clinic","Mwawa Village Clinic","iM5F4D3aOtJ","Not existing",""
"Mwaya Health Centre","Mwaya Health Centre","aqRm9wq0aIA","NB0329","1398"
"Mwayi Private","Mwayi Clinic","i14i0hgyT2B","LL7004",""
"Mwazisi Health Centre","Mwazisi Health Centre","JeN3ydrU4lR","RU0414","448"
"Mwenelupembe-1 Village Clinic","Mwenelupembe-1 Village Clinic","oaKcRmE4TVX","Not existing",""
"Mwenetanga Village Clinic","Mwenetanga Village Clinic","ZLEVDndvg8Y","Not existing",""
"Mwenitete Village Clinic","Mwenitete Village Clinic","zqNjA270Ubq","Not existing",""
"Mwenje Village Clinic","Mwenje Village Clinic","OIu1JURaGkq","Not existing",""
"Mwesha Village clinic","Mwesha Village clinic","pIL781rs0rH","Not existing",""
"Mwineya Village Clinic","Mwineya Village Clinic","YHkYU5Ax16Y","Not existing",""
"Mwinyere Village Clinic","Mwinyere Village Clinic","KHRD0520nrH","Not existing",""
"Mwitiya Village Clinic","Mwitiya Village Clinic","UQvzJK1nCjQ","Not existing",""
"Mwitunji Village Clinic","Mwitunji Village Clinic","DWvZrK0SJCw","Not existing",""
"Mzalangwe Health Centre","Mzalangwe Health Centre","tca66OfpOph","MZS0530","523"
"Mzambazi Rural Hospital","Mzambazi Hospital","L0obMixrYsw","MZS0531","539"
"Mzandu Health Centre","Mzandu Health Centre","zbzy1EAHemL","NS1209","171"
"Mzenga Health Centre","Mzenga Health Centre","DCafjM4Ew3G","NB0314","500"
"Mzimba","Mzimba","bVY4PcjsciS","Not existing",""
"Mzimba District Hospital","Mzimba District Hospital","H58PMzo9Xii","MZS0532","173"
"","Mzimba North DHO Pharmacy","Zmhvihfvanx","MZN0533",""
"Mzimba-South-DHO","Mzimba South DHO Pharmacy","PoWQdy5S9Xi","MZS0532",""
"Mziza Health Centre ","Mziza Health Centre","GaqkYT3AgFn","KU1019","1202"
"Mzokoto Health Centre","Mzokoto Health Centre","bYR9HESsWKd","RU0415","174"
"Mzuzu Central Hospital","Mzuzu Central Hospital Pharmacy","EQg6N2v2TXj","MZN0538","175"
"Mzuzu Central Prison ","Mzuzu Central Prison","eywf2mgdPPI","MZN0566","550"
"Mzuzu University Clinic ","Mzuzu University Clinic","rHtjCrmXd7e","MZN0589","815"
"Mzuzu Urban Health Centre","Mzuzu Urban Health Centre","cQ41y2ym2RV","MZN0533","176"
"Naching'anda Village Clinic","Naching'anda Village Clinic","UaJBdkc3kFC","Not existing",""
"Nachipangapanga Village Clinic","Nachipangapanga Village Clinic","e6pAl8LD6C8","Not existing",""
"Nafisi Village Clinic","Nafisi Village Clinic","C45SuWb4XVI","Not existing",""
"Nainunje Health Centre","Nainunje Health Centre","UlGsSjoERdc","MHG006",""
"Naisi Health Centre","Naisi Health Centre","ncRCRH1homB","ZA2732","1155"
"Nakalanzi Health Centre","Nakalanzi Health Centre","yRUuIksTiLm","DZ1736","354"
"Nakasale Village Clinic","Nakasale Village Clinic","oJo3X5Xg8yc","Not existing",""
"Nalikata Village Clinic","Nalikata Village Clinic","hfJePpvbwvC","Not existing",""
"Nalunga Health Centre","Nalunga Health Centre","jcUguNrYDmp","DA1319","1310"
"Nalungu Village Clinic","Nalungu Village Clinic","EfBsDtgeUIx","Not existing",""
"Naluwadi Village Clinic","Naluwadi Village Clinic","NAwXKxs0NoQ","Not existing",""
"Namadidi Dispensary","Namadidi clinic Health Centre","bHXisKRaXOR","ZA2736","1380"
"Namadzi Health Centre","Namadzi Health Centre","bthDRjgyzgo","CZ2805","177"
"Namagondwa Village Clinic","Namagondwa Village Clinic","jWGPJIcJCGG","Not existing",""
"Namainja Village Clinic","Namainja Village Clinic","QYrhf4YFjgw","Not existing",""
"Namalaka Health Centre","Namalaka Health Centre","JRwvE3EiDuo","MH2522","843"
"Namaluwo Village Clinic","Namaluwo Village Clinic","OKzF2xgsRtX","Not existing",""
"Namandanje Health Centre","Namandanje Health Centre","KEPMWjMdxDG","MHG2610","845"
"Namanja Health Centre","Namanja Health Centre","XG7w56VzqMn","MHG2611","847"
"Namanolo Health Centre","Namanolo Health Centre","spgBSrohYPo","BLK3611","658"
"Namanolo Village Clinic","Namanolo Village Clinic","RqEMScqaVPz","BLK3611",""
"Namasalima Health Centre (Mulanje)","Namasalima Health Centre","asiPyqS8rHs","MJ3215","848"
"Namasalima Health Centre (Zomba)","Namasalima Health Centre","mR7n2aiuf2m","ZA2714","850"
"Namatubi Outreach Clinic","Namatubi Village Clinic","GQ9KQzbW7MJ","Not existing",""
"Nambazo Health Centre","Nambazo Health Centre","AyarnjnokWg","PE3510","179"
"Nambiti II Health Centre","Nambiti II Health Centre","FIHIYv39yqU","PE3513","454"
"Nambuma Health Centre","Nambuma Hospital","qlkyWX9EEaw","LL1533","853"
"Nandumbo Health Centre","Namdumbo Health Centre","tVpkUqyzg60","BLK3616","1224"
"Namikango Health Centre","Namikango Maternity Health Centre","AWytIG2qdwP","ZA2715","857"
"Namikoko Health Centre","Namikoko Health Centre","sTjTxJqSCWE","BT2917","858"
"Naming'omba estate clinic","Naming'omba estate clinic","VLJsrQrzivg","TO3142","1164"
"Namisu Dispensary","Namisu Dispensary","zgQjvfvY38A","Not existing","862"
"Namitambo Health Centre","Namitambo Health Centre","TArV024FtcH","CZ2806","181"
"Namitupa Village Clinic","Namitupa Village Clinic","MgDIFN3eHo9","Not existing",""
"Namizana Dispensary","Namizana Dispensary","OAXUYKyVuIz","MC1615","716"
"Namonde Village Clinic","Namonde Village Clinic","fNkitVwzOR7","Not existing",""
"Nampapi Village Clinic","Nampapi Village Clinic","A91qjejXaBH","Not existing",""
"Nampeya Village Clinic","Nampeya Village Clinic","JrbmvnaQ81B","Not existing",""
"Namphungo Health Centre","Namphungo Health Centre","PxkHQqgxweP","MJ3216","864"
"Namuchese Village Clinic","Namuchese Village Clinic","mE7F4ZSRELL","Not existing",""
"Namulenga Health Centre","Namulenga Health Centre","uLVlUIL4rlD","MJ3217","865"
"Namwera Health Centre","Namwera Rural/ Community Hospital","SjXKV0RvdBG","MH2523","492"
"Nancholi Dispensary","Nancholi Dispensary","Q90Za7zl8zB","MH2524","491"
"Nande Village Clinic","Nande Village Clinic","z2EVIOwVnm2","Not existing",""
"Nangalamu Health Centre","Nangalamu Health Centre","xSi6MZN3hAK","MH2525","867"
"Nankati Village Clinic","Nankati Village Clinic","IGhXrqBRMyG","Not existing",""
"Nankhwali Health Centre","Nankhwali Health Centre","oS0WaJ5v6t4","MH2526","868"
"Nankumba Health Centre","Nankumba Health Centre","cnUCvDXttIv","MH2527","870"
"Nankumba Village Clinic","Nankumba Village Clinic","uBdL7e6dpLV","MH2527",""
"Nankwakwala Village Clinic","Nankwakwala Village Clinic","pmUyaiO2PM2","Not existing",""
"Nantchwatchwa Village Clinic","Nantchwatchwa Village Clinic","ezse1m5EphW","Not existing",""
"NAPHAM Clinic","NAPHAM Clinic","iQKnRKmqARP","Not existing",""
"Naphimba Health Centre","Naphimba Health Centre","akhqt6Z6B7x","MJ322","871"
"Naphutu Village Clinic","Naphutu Village Clinic","Zf16iFrryec","Not existing",""
"Napweto Village Clinic","Napweto Village Clinic","MtsXjKrf7dB","Not existing",""
"Nasato Village Clinic","Nasato Village Clinic","WpEyfSlX0yK","Not existing",""
"Nasawa Health Centre","Nasawa Health Centre","RicJ2qmCw3g","ZA2725","610"
"Nasiyaya Village Clinic","Nasiyaya Village Clinic","PUeBjp1GdCX","Not existing",""
"Natambukira Village Clinic","Natambukira Village Clinic","HYlYPbJHUVe","Not existing",""
"Nathenje Health Centre","Nathenje Health Centre","AgYrPo8MW5I","LL1534","688"
"Nayuchi Health Centre","Nayuchi Health Centre","fwctySB9ovz","MHG2613","876"
"Gogo Nazombe health centre","Nazombe (GoGo) Health Centre","cTMzhKP8OCf","PE3514","1092"
"Ndakwela Health Centre","Ndakwera Health Centre","EdY8ZVRq9ST","CK3314","183"
"Ndala Village Clinic","Ndala Village Clinic","vVyoQdz6ZiI","Not existing",""
"Ndamera Health Centre","Ndamera Health Centre","pSYB6OucIkn","NJ3408","766"
"Ndanga Village Clinic","Ndanga Village Clinic","N4nMCpGPfsW","Not existing",""
"Ndaula Health Centre","Ndaula Health Centre","Pw6JwUkqdlF","LL1535","879"
"Ndemange Village Clinic","Ndemange Village Clinic","lkmeBdp6FYl","Not existing",""
"Ndindi Village Clinic","Ndindi Village Clinic","ahH7NoH26CE","Not existing",""
"Ndirande BLM","Ndirande BLM","zizB8oIwvOJ","BT2918","743"
"Ndirande Urban Health Centre","Ndirande Health Centre","M5ZUfC4v8GV","BT2918","185"
"Ndirande Village Clinic","Ndirande Village Clinic","QvngLjmiV5e","BT2918",""
"Ndomo Village Clinic","Ndomo Village Clinic","WVUQJHSV1vn","Not existing",""
"Ndunde Health Centre","Ndunde Health Centre","YxzE6eiZh7V","CZ2807","186"
"Nengwere Village Clinic","Nengwere Village Clinic","UuSLuozj463","Not existing",""
"Neno-DHO","Neno DHO Pharmacy","IQCeFVtGUtg","NE3709",""
"Neno District Hospital","Neno District Hospital","Rmh4wKR794k","NE3709","485"
"Neno Parish Health Centre","Neno Parish Health Centre (CHAM)","I4Vox6oteWl","NE3710","885"
"New Statehouse Dispensary","New State House Clinic","s0Wy1UgxpqI","LL4058","1203"
"Newa / Mpasazi Health Centre","Newa Health Centre","XkcRltXu9tK","KU1012","887"
"Ng'onga Health Centre","Ng'onga Health Centre","CyLPblDfB5N","RU0424","543"
"Ng’omba Village Clinic","Ng’omba Village Clinic","BzEybXZi3Gj","Not existing",""
"Ngabu Rural Hospital","Ngabu Rural/ Community Hospital","r1idesX7bX6","CK3315","188"
"Ngabu SDA  Health Centre","Ngabu Sda Health Centre","yJV9qRDSt9V","CK019","557"
"Ngala Health Centre","Ngala Health Centre","tTaiG5Qrcyr","KK1110","890"
"Ngala Trading Village Clinic","Ngala Trading Village Clinic","qf8iTplSUCn","KK1110",""
"Ngana Health Centre","Ngana Health Centre","Cas9rlkSOQn","KA0210","892"
"Ngapani Health Centre","Ngapani Clinic","VWvs8SJXcRe","MH2570","893"
"Ngatala Village Clinic","Ngatala Village Clinic","tbA7qgUEAIg","Not existing",""
